epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.8607,1.11845,1.68083,1.02984,0.761,0.78847,0.9045,0.65425,1.02214,1.26191,1.04715,0.000147,0.000147,0.000147
2,86.4297,1.02535,0.80527,0.9777,0.68771,0.89186,0.8103,0.55065,1.1733,2.05915,1.19275,0.000293942,0.000293942,0.000293942
3,111.745,1.09624,0.7261,1.02747,0.93374,0.97693,0.98236,0.68321,1.11373,0.66606,1.15082,0.000434831,0.000434831,0.000434831
4,142.37,1.05188,0.73406,1.00472,0.86001,0.9518,0.97593,0.71773,1.01421,0.70766,1.08479,0.000553073,0.000553073,0.000553073
5,178.925,1.02016,0.74847,1.01442,0.89194,0.98611,0.98411,0.67281,1.07034,0.65754,1.11916,0.00054143,0.00054143,0.00054143
6,210.105,0.99303,0.68852,0.99011,0.71854,0.57873,0.59603,0.43666,1.35197,9.33094,1.36864,0.000529788,0.000529788,0.000529788
7,238.875,0.97274,0.63186,1.01294,0.92086,0.85227,0.90262,0.67132,0.97268,1.06582,1.06303,0.000518146,0.000518146,0.000518146
8,263.399,0.95425,0.57189,0.98899,0.9598,0.95459,0.97503,0.73869,0.91995,0.55274,1.04227,0.000506503,0.000506503,0.000506503
9,305.917,0.95353,0.53072,0.97496,0.96312,0.98333,0.98459,0.73604,0.95284,0.47399,1.06319,0.000494861,0.000494861,0.000494861
10,337.146,0.90816,0.51597,0.97438,0.97367,0.92888,0.94925,0.70947,0.96779,0.55194,1.0723,0.000483218,0.000483218,0.000483218
11,367.15,0.92376,0.51126,1.00862,0.97511,0.96576,0.9853,0.75316,0.88219,0.43057,1.03514,0.000471576,0.000471576,0.000471576
12,398.08,0.88347,0.47816,0.9559,0.9768,0.98551,0.98534,0.76415,0.88013,0.42209,1.02256,0.000459934,0.000459934,0.000459934
13,441.037,0.8839,0.47409,0.96926,0.96024,0.97843,0.97784,0.75571,0.86833,0.7789,1.01937,0.000448291,0.000448291,0.000448291
14,472.104,0.87483,0.44873,0.96583,0.97571,0.99301,0.98594,0.747,0.93986,0.43062,1.0456,0.000436649,0.000436649,0.000436649
15,501.718,0.89059,0.46351,0.95925,0.98128,0.99301,0.98581,0.74611,0.95547,0.38384,1.08267,0.000425006,0.000425006,0.000425006
16,536.668,0.85087,0.43873,0.95635,0.9806,0.98917,0.98765,0.78144,0.82954,0.3692,1.00898,0.000413364,0.000413364,0.000413364
17,588.588,0.8597,0.43974,0.96827,0.98719,0.98994,0.98489,0.76972,0.86198,0.36051,1.01233,0.000401722,0.000401722,0.000401722
18,621.599,0.82108,0.41469,0.95584,0.98361,0.99301,0.98699,0.78433,0.81349,0.34255,0.99184,0.000390079,0.000390079,0.000390079
19,664.753,0.84216,0.4362,0.95745,0.98758,0.99301,0.98925,0.7764,0.8365,0.33479,1.01139,0.000378437,0.000378437,0.000378437
20,695.917,0.81651,0.40743,0.95047,0.98643,0.99301,0.98901,0.78212,0.8524,0.35236,1.01037,0.000366794,0.000366794,0.000366794
21,724.021,0.79821,0.42335,0.94412,0.98141,0.99158,0.98755,0.76692,0.88504,0.355,1.04718,0.000355152,0.000355152,0.000355152
22,748.775,0.82124,0.42352,0.94122,0.98393,0.99301,0.98794,0.79133,0.8102,0.34179,0.99082,0.00034351,0.00034351,0.00034351
23,795.537,0.81753,0.42381,0.93351,0.98351,0.99301,0.98839,0.79894,0.80787,0.32608,0.98728,0.000331867,0.000331867,0.000331867
24,842.184,0.78961,0.39022,0.91828,0.98426,0.98914,0.98646,0.77433,0.89301,0.34497,1.02646,0.000320225,0.000320225,0.000320225
