epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2800.71,0.6021,0.95027,0.58619,0.93979,0,0.56943,0.80409,0.65813,0.56169,0.57684,0.81845,0.67132,0.55141,0.59027,0.95701,0.56086,0.91988,0,0.000172198,0.000172198,0.000172198
29,2900.29,0.59663,0.94675,0.57813,0.93817,0,0.50691,0.79556,0.59577,0.51918,0.51552,0.80437,0.60963,0.50554,0.58883,0.95795,0.65079,0.92263,0,0.000164872,0.000164872,0.000164872
30,3003.8,0.59177,0.93319,0.56857,0.93796,0,0.54268,0.76882,0.61424,0.5327,0.55009,0.77969,0.62802,0.52019,0.57912,0.93617,0.63639,0.91686,0,0.000157546,0.000157546,0.000157546
31,3103.72,0.58608,0.93907,0.56118,0.9363,0,0.56398,0.7957,0.65028,0.5642,0.57778,0.80646,0.66693,0.55339,0.58133,0.93039,0.56635,0.91769,0,0.00015022,0.00015022,0.00015022
32,3203.73,0.57721,0.91796,0.55067,0.93213,0,0.50984,0.79528,0.61012,0.52824,0.51806,0.80159,0.62249,0.51905,0.57755,0.9404,0.63516,0.91709,0,0.000142894,0.000142894,0.000142894
33,3302.57,0.57738,0.90134,0.53799,0.92675,0,0.58569,0.7905,0.63584,0.55249,0.59407,0.80179,0.64932,0.54177,0.5729,0.92663,0.57571,0.91323,0,0.000135568,0.000135568,0.000135568
34,3402.17,0.5738,0.91894,0.54294,0.92956,0,0.54828,0.80582,0.58397,0.50552,0.55573,0.82022,0.59605,0.49705,0.57833,0.94931,0.66023,0.91634,0,0.000128242,0.000128242,0.000128242
35,3500.47,0.57119,0.91051,0.53271,0.92856,0,0.56974,0.81517,0.617,0.53119,0.57795,0.83238,0.63085,0.52226,0.5692,0.93856,0.59616,0.90963,0,0.000120916,0.000120916,0.000120916
36,3599.28,0.5641,0.88984,0.52054,0.92495,0,0.56525,0.80553,0.61892,0.53688,0.57392,0.83124,0.63227,0.52671,0.57176,0.92539,0.59452,0.91252,0,0.00011359,0.00011359,0.00011359
37,3698.39,0.55977,0.88393,0.51676,0.92358,0,0.58146,0.79813,0.6378,0.55721,0.58851,0.80858,0.65126,0.54305,0.56477,0.91823,0.5756,0.90953,0,0.000106264,0.000106264,0.000106264
